query,is_brand,urls,total_impr,split_impr,owner,owner_pos,best_pos,weaker_page_outranks_owner,rivals
eggless cake near me,False,35,3537,2297,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7.2,4.2,True,/blog/best-eggless-cake-shops-sydney-2026 | / | /blog/eggless-cakes-dean-park | /blog/eggless-cakes-doonside | /blog/eggless-cakes-minchinbury | /blog/eggless-cakes-schofields | /cakes | /blog/eggless-cakes-winston-hills
eggless cake shop,False,6,2015,1326,/blog/best-eggless-cake-shops-sydney-2026,12.3,6.4,True,/blog/eggless-cake-bakery-harris-park-riverstone-sydney | / | /cakes | /blog/eggless-cake-for-vegetarians-sydney | /blog/eggless-cakes-riverstone
eggless cake sydney,False,7,1116,761,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,11.3,7.0,True,/blog/best-eggless-cake-shops-sydney-2026 | /cakes | / | /blog/eggless-cake-for-vegetarians-sydney | /blog/eggless-cake-reviews-sydney | /blog/eggless-cake-nut-free-sydney
eggless cakes sydney,False,10,932,655,/cakes,26.8,8.8,True,/blog/best-eggless-cake-shops-sydney-2026 | /blog/eggless-cake-bakery-harris-park-riverstone-sydney | / | /blog/eggless-cake-for-vegetarians-sydney | /blog | /order | /blog/eggless-cake-nut-free-sydney | /blog/eggless-cakes-grantham-farm
eggless cakes near me,False,12,849,532,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,8.3,4.3,True,/ | /blog/best-eggless-cake-shops-sydney-2026 | /blog/eggless-cakes-dean-park | /cakes | /blog/eggless-cakes-doonside | /blog/eggless-cakes-riverstone | /blog/eggless-cakes-quakers-hill | /blog/eggless-cake-for-vegetarians-sydney
eggless cakes,False,5,582,249,/blog/best-eggless-cake-shops-sydney-2026,13.7,8.1,True,/cakes | /blog/eggless-cake-for-vegetarians-sydney | / | /blog/eggless-cake-nut-free-sydney
riverstone bakery,False,6,342,170,/,4.6,1.0,True,/blog/eggless-cake-bakery-harris-park-riverstone-sydney | /cakes | /blog/eggless-cakes-riverstone | /blog/eggless-cakes-doonside | http://www.numnumsbakery.com.au/
eggless cake,False,3,285,131,/blog/best-eggless-cake-shops-sydney-2026,10.4,6.0,True,/ | http://www.numnumsbakery.com.au/
egg free cakes parramatta,False,7,227,105,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,12.3,8,True,/blog/best-eggless-cake-shops-sydney-2026 | /blog/eggless-cakes-northmead | /blog/eggless-cakes-dundas | /blog/eggless-cake-for-vegetarians-sydney | / | /blog/eggless-cakes-dundas-valley.html
cake shop harris park,False,6,227,99,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7.4,1.6,True,/ | /blog/best-dessert-shop-sydney | /about | http://www.numnumsbakery.com.au/ | /order
eggless cake blacktown,False,9,142,99,/blog/eggless-cakes-dean-park,6.2,4,True,/blog/eggless-cakes-doonside | /blog/eggless-cakes-lalor-park | /blog/eggless-cakes-schofields | /blog/best-eggless-cake-shops-sydney-2026 | /blog/eggless-cakes-rooty-hill | /blog/eggless-cakes-mount-druitt | /blog/eggless-cakes-prospect | /blog/eggless-cakes-riverstone
cake shop near me,False,3,830,94,/,6.8,5.9,True,http://www.numnumsbakery.com.au/ | /cakes
eggless cake parramatta,False,5,193,78,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,4.4,3.0,True,/ | /blog/eggless-cakes-sydney-olympic-park | /blog/eggless-cakes-dundas | /blog/eggless-cakes-northmead
harris park cake shop,False,3,259,74,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7.5,1.5,True,/ | http://www.numnumsbakery.com.au/
egg free cakes sydney,False,5,182,72,/blog/best-eggless-cake-shops-sydney-2026,6.2,6.2,False,/blog/eggless-cake-for-vegetarians-sydney | /cakes | /blog/eggless-cake-bakery-harris-park-riverstone-sydney | /blog/eggless-cake-nut-free-sydney
organic neem cake in sydney,False,2,255,68,/,58.6,58.6,False,/cakes
dairy free cakes delivered sydney,False,2,129,64,/blog/best-eggless-cake-shops-sydney-2026,24.9,24.9,False,/
cake shop in harris park,False,4,139,63,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,6.7,1.4,True,/ | http://www.numnumsbakery.com.au/ | /blog/best-dessert-shop-sydney
eggless cake shop near me,False,4,111,63,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,6.0,6.0,False,/blog/best-eggless-cake-shops-sydney-2026 | / | /blog/eggless-cakes-dean-park
nam nam bakery,False,5,122,57,/,1.8,1,True,/order | /cakes | http://www.numnumsbakery.com.au/ | /about
number cakes sydney,False,2,146,57,/,75.9,72.4,True,/cakes
bakery near me,False,3,353,49,/,9.3,1.3,True,http://www.numnumsbakery.com.au/ | /cakes
eggless cake in sydney,False,5,84,47,/blog/best-eggless-cake-shops-sydney-2026,6.1,6.1,False,/blog/eggless-cake-bakery-harris-park-riverstone-sydney | /cakes | / | /blog/eggless-cake-for-vegetarians-sydney
cake shop riverstone,False,3,125,45,/,1.7,1.0,True,/cakes | /blog/eggless-cake-bakery-harris-park-riverstone-sydney
eggless cupcakes near me,False,4,87,43,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7.0,7.0,False,/blog/best-eggless-cake-shops-sydney-2026 | / | /blog/eggless-cakes-doonside
15 cullum street bossley park nsw 2176,False,3,106,43,/,41.1,12.8,True,/cakes | /blog/eggless-cakes-bossley-park
dairy free cake delivery sydney,False,3,91,43,/blog/best-eggless-cake-shops-sydney-2026,25.3,25.3,False,/ | /cakes
bakery harris park,False,2,85,41,/,3.1,3.1,False,/blog/eggless-cake-bakery-harris-park-riverstone-sydney
harris park bakery,False,2,129,38,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7.4,3.2,True,/
indian cake shop near me,False,4,64,37,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,5.0,5.0,False,/blog/best-eggless-cake-shops-sydney-2026 | / | /indian-sweet
rasmalai cake near me,False,3,132,33,/,8.3,4.6,True,/cakes | /blog/eggless-cakes-schofields
egg free cakes mount druitt,False,5,46,33,/blog/eggless-cakes-whalan,15,2,True,/blog/best-eggless-cake-shops-sydney-2026 | /blog/eggless-cakes-mount-druitt | /blog/eggless-cake-for-vegetarians-sydney | /blog/eggless-cakes-minchinbury
number cake sydney,False,3,118,32,/,66.0,66.0,False,/cakes | /order
nut free cakes sydney,False,2,120,32,/blog/best-eggless-cake-shops-sydney-2026,21.2,13.1,True,/blog/eggless-cake-nut-free-sydney
dessert near me,False,2,323,31,/,17.7,16.7,True,http://www.numnumsbakery.com.au/
cakes near me,False,3,199,30,/,9.7,5.1,True,http://www.numnumsbakery.com.au/ | /cakes
num noms cake,False,4,70,29,/,17.4,17.4,False,/cakes | /order | /services/birthday-cakes/
bakery riverstone,False,3,138,28,/,3.2,3.2,False,/blog/eggless-cake-bakery-harris-park-riverstone-sydney | /cakes
halal bakery sydney,False,2,148,25,/,43.8,17.3,True,/blog/halal-friendly-cakes-eggless-sydney
nam's eggless bakes,False,3,46,22,/blog/best-eggless-cake-shops-sydney-2026,5.7,5.7,False,/ | /cakes
15 cullum street bossley park,False,3,73,21,/,44.9,13.2,True,/cakes | /blog/eggless-cakes-bossley-park
eggless cake delivery sydney,False,4,47,21,/blog/best-eggless-cake-shops-sydney-2026,6.4,6.4,False,/cakes | / | /blog/eggless-cake-for-vegetarians-sydney
sydney office cakes,False,2,60,20,/blog/corporate-cake-sydney,9.6,9.6,False,/blog/eggless-cake-office-birthday-sydney
halal cake shop sydney,False,2,85,19,/,44.2,20.8,True,/blog/halal-friendly-cakes-eggless-sydney
cake near me,False,3,177,18,/,7.8,1.9,True,http://www.numnumsbakery.com.au/ | /cakes
cake shops near me,False,3,114,17,/,8.8,5.2,True,http://www.numnumsbakery.com.au/ | /cakes
eggless pastry near me,False,3,35,16,/blog/eggless-cake-bakery-harris-park-riverstone-sydney,6.9,3.2,True,/blog/best-eggless-cake-shops-sydney-2026 | /
