date,clicks,impressions,ctr,position
2026-06-04,8,292,2.74,15.0
2026-06-05,13,389,3.34,12.2
2026-06-06,8,408,1.96,13.4
2026-06-07,7,316,2.22,11.3
2026-06-08,16,305,5.25,13.6
2026-06-09,9,216,4.17,17.8
2026-06-10,17,286,5.94,13.4
2026-06-11,14,344,4.07,14.2
2026-06-12,19,372,5.11,12.7
2026-06-13,11,708,1.55,22.0
2026-06-14,12,415,2.89,13.6
2026-06-15,15,406,3.69,13.5
2026-06-16,17,473,3.59,13.3
2026-06-17,7,444,1.58,15.3
2026-06-18,18,525,3.43,11.4
2026-06-19,14,593,2.36,12.1
2026-06-20,12,575,2.09,10.4
2026-06-21,5,468,1.07,10.9
2026-06-22,13,550,2.36,11.3
2026-06-23,11,578,1.9,10.7
2026-06-24,14,539,2.6,11.2
2026-06-25,22,547,4.02,12.8
2026-06-26,11,553,1.99,12.0
2026-06-27,14,594,2.36,11.2
2026-06-28,23,534,4.31,9.5
2026-06-29,22,633,3.48,11.9
2026-06-30,22,594,3.7,11.5
2026-07-01,22,564,3.9,12.8
2026-07-02,22,545,4.04,10.7
2026-07-03,21,560,3.75,10.1
2026-07-04,16,562,2.85,10.8
2026-07-05,29,568,5.11,10.1
2026-07-06,18,703,2.56,14.7
2026-07-07,23,746,3.08,12.7
2026-07-08,16,544,2.94,10.7
2026-07-09,18,607,2.97,10.6
2026-07-10,16,646,2.48,10.4
2026-07-11,18,772,2.33,11.9
2026-07-12,25,620,4.03,9.9
2026-07-13,32,859,3.73,12.2
2026-07-14,17,999,1.7,16.4
2026-07-15,20,764,2.62,13.2
2026-07-16,24,641,3.74,9.7
2026-07-17,21,845,2.49,10.9
2026-07-18,20,749,2.67,9.7
2026-07-19,31,806,3.85,10.7
2026-07-20,38,830,4.58,9.3
2026-07-21,33,960,3.44,10.2
2026-07-22,30,881,3.41,11.4
2026-07-23,25,861,2.9,9.7
2026-07-24,33,996,3.31,10.4
2026-07-25,22,875,2.51,9.7
2026-07-26,19,887,2.14,9.0
2026-07-27,21,1010,2.08,9.9
2026-07-28,22,942,2.34,9.6
2026-07-29,21,1066,1.97,10.8
2026-07-30,15,966,1.55,13.0
2026-07-31,20,943,2.12,12.2
2026-08-01,32,1143,2.8,12.8
2026-08-02,42,1574,2.67,11.2
2026-08-03,36,1529,2.35,11.3
2026-08-04,28,1224,2.29,11.2
2026-08-05,33,1173,2.81,12.9
2026-08-06,26,1227,2.12,12.4
2026-08-07,15,978,1.53,10.7
2026-08-08,29,1471,1.97,12.8
2026-08-09,34,1006,3.38,10.8
2026-08-10,21,1198,1.75,13.6
2026-08-11,27,1145,2.36,11.4
2026-08-12,27,1123,2.4,11.2
2026-08-13,30,1508,1.99,13.1
2026-08-14,19,1026,1.85,9.9
2026-08-15,42,1084,3.87,11.7
2026-08-16,25,1019,2.45,11.0
2026-08-17,36,1174,3.07,11.9
2026-08-18,28,1037,2.7,9.4
2026-08-19,27,1044,2.59,8.4
2026-08-20,31,1071,2.89,10.0
2026-08-21,19,979,1.94,9.4
2026-08-22,28,1100,2.55,9.7
2026-08-23,36,1030,3.5,9.7
2026-08-24,35,1033,3.39,10.2
2026-08-25,41,1101,3.72,9.7
2026-08-26,36,1130,3.19,10.8
2026-08-27,35,1043,3.36,11.7
2026-08-28,31,934,3.32,9.5
2026-08-29,23,984,2.34,9.9
2026-08-30,24,941,2.55,9.3
