page,clicks,impressions,ctr,position
https://numnumsbakery.com.au/,1068,21568,4.95,13.7
https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,148,6345,2.33,9.6
https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,108,7689,1.4,7.8
https://numnumsbakery.com.au/blog/photo-cake-sydney,99,3797,2.61,8.5
http://www.numnumsbakery.com.au/,55,1130,4.87,7.7
https://numnumsbakery.com.au/cakes,53,4769,1.11,14.4
https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,35,2438,1.44,9.2
https://numnumsbakery.com.au/order,27,2722,0.99,5.3
https://numnumsbakery.com.au/indian-sweet,20,2233,0.9,10.8
https://numnumsbakery.com.au/blog/eggless-cake-storage-freshness-guide,17,3202,0.53,7.8
https://numnumsbakery.com.au/blog/eggless-cakes-schofields,17,535,3.18,6.9
https://numnumsbakery.com.au/blog/first-birthday-cake-sydney,16,327,4.89,9.0
https://numnumsbakery.com.au/blog/cake-serving-size-guide-sydney,15,1349,1.11,6.6
https://numnumsbakery.com.au/blog/cake-price-guide-sydney,14,700,2.0,6.1
https://numnumsbakery.com.au/blog/same-day-cake-sydney,14,600,2.33,8.5
https://numnumsbakery.com.au/blog/best-cake-sydney,13,2055,0.63,13.3
https://numnumsbakery.com.au/blog/eggless-cakes-dean-park,13,1016,1.28,8.1
https://numnumsbakery.com.au/blog/number-cakes-sydney,12,235,5.11,6.6
https://numnumsbakery.com.au/blog/kids-birthday-cake-sydney,11,252,4.37,9.1
https://numnumsbakery.com.au/blog/eggless-cake-for-toddlers-sydney,10,112,8.93,10.6
https://numnumsbakery.com.au/blog/cake-smash-cakes-sydney,9,113,7.96,7.3
https://numnumsbakery.com.au/blog/eggless-cake-vs-regular-cake,9,1341,0.67,6.8
https://numnumsbakery.com.au/blog/eggless-cakes-quakers-hill,9,285,3.16,7.6
https://numnumsbakery.com.au/blog/are-eggless-cakes-healthy,7,494,1.42,4.8
https://numnumsbakery.com.au/blog/eggless-cakes-doonside,7,397,1.76,7.8
https://numnumsbakery.com.au/about,6,1390,0.43,4.9
https://numnumsbakery.com.au/blog/eggless-cakes-eid-milad-un-nabi-sydney,6,264,2.27,6.7
https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney,5,660,0.76,20.2
https://numnumsbakery.com.au/blog/eggless-cakes-gender-reveal-sydney,5,126,3.97,6.9
https://numnumsbakery.com.au/blog/luxury-cake-sydney,5,79,6.33,12.5
https://numnumsbakery.com.au/blog,4,543,0.74,14.5
https://numnumsbakery.com.au/blog/eggless-cake-ingredients-sydney,4,204,1.96,9.1
https://numnumsbakery.com.au/blog/eggless-cakes-mid-autumn-festival-sydney,4,41,9.76,7.1
https://numnumsbakery.com.au/blog/eggless-cakes-northwest-sydney,4,119,3.36,13.1
https://numnumsbakery.com.au/blog/farewell-cake-sydney.html,4,143,2.8,5.7
https://numnumsbakery.com.au/blog/indian-sweets-harris-park-riverstone-sydney,4,358,1.12,6.3
https://numnumsbakery.com.au/blog/wedding-cake-sydney-north-west,4,669,0.6,15.5
https://numnumsbakery.com.au/blog/birthday-cake-for-men-sydney,3,88,3.41,9.1
https://numnumsbakery.com.au/blog/eggless-cake-egg-substitutes,3,1223,0.25,9.4
https://numnumsbakery.com.au/blog/eggless-cake-for-pregnancy-sydney,3,124,2.42,13.1
https://numnumsbakery.com.au/blog/eggless-cake-indian-flavours,3,89,3.37,9.7
https://numnumsbakery.com.au/blog/eggless-cake-nut-free-sydney,3,178,1.69,14.1
https://numnumsbakery.com.au/blog/eggless-cakes-the-ponds,3,60,5.0,6.1
https://numnumsbakery.com.au/blog/eggless-cakes-winston-hills,3,180,1.67,7.5
https://numnumsbakery.com.au/blog/halal-friendly-cakes-eggless-sydney,3,398,0.75,10.9
https://numnumsbakery.com.au/blog/unique-birthday-cake-ideas-sydney,3,254,1.18,10.4
https://numnumsbakery.com.au/blog/afternoon-tea-cakes-sydney,2,101,1.98,20.6
https://numnumsbakery.com.au/blog/birthday-cake-north-west-sydney,2,245,0.82,9.9
https://numnumsbakery.com.au/blog/cake-design-trends-sydney-2026,2,27,7.41,15.3
https://numnumsbakery.com.au/blog/eggless-birthday-cakes-sydney,2,39,5.13,10.6
https://numnumsbakery.com.au/blog/eggless-cake-delivery-sydney,2,148,1.35,28.4
https://numnumsbakery.com.au/blog/eggless-cake-flavours,2,81,2.47,7.6
https://numnumsbakery.com.au/blog/eggless-cake-for-egg-allergy,2,127,1.57,9.0
https://numnumsbakery.com.au/blog/eggless-cake-texture-moist,2,138,1.45,6.5
https://numnumsbakery.com.au/blog/eggless-cake-troubleshooting,2,329,0.61,8.2
https://numnumsbakery.com.au/blog/eggless-cakes-auburn,2,136,1.47,9.0
https://numnumsbakery.com.au/blog/eggless-cakes-birrong,2,143,1.4,6.2
https://numnumsbakery.com.au/blog/eggless-cakes-blacktown,2,40,5.0,6.1
https://numnumsbakery.com.au/blog/eggless-cakes-constitution-hill,2,150,1.33,8.2
https://numnumsbakery.com.au/blog/eggless-cakes-glenorie,2,18,11.11,6.1
https://numnumsbakery.com.au/blog/eggless-cakes-hassall-grove,2,66,3.03,5.2
https://numnumsbakery.com.au/blog/eggless-cakes-marayong,2,62,3.23,18.8
https://numnumsbakery.com.au/blog/eggless-cakes-north-kellyville,2,103,1.94,6.1
https://numnumsbakery.com.au/blog/eggless-cakes-northmead,2,204,0.98,7.4
https://numnumsbakery.com.au/blog/eggless-cakes-plumpton,2,71,2.82,7.8
https://numnumsbakery.com.au/blog/eggless-cakes-raksha-bandhan-sydney,2,60,3.33,9.6
https://numnumsbakery.com.au/blog/eggless-cakes-riverstone,2,365,0.55,8.4
https://numnumsbakery.com.au/blog/eggless-cakes-sinhala-tamil-new-year-sydney,2,37,5.41,7.5
https://numnumsbakery.com.au/blog/eggless-cakes-strathfield,2,32,6.25,7.9
https://numnumsbakery.com.au/blog/eggless-cakes-tallawong,2,28,7.14,14.9
https://numnumsbakery.com.au/blog/eggless-cakes-villawood,2,169,1.18,4.9
https://numnumsbakery.com.au/blog/how-eggless-cakes-are-made,2,126,1.59,8.7
https://numnumsbakery.com.au/blog/semi-naked-cake-sydney,2,38,5.26,8.4
https://numnumsbakery.com.au/blog/sheet-cake-sydney,2,56,3.57,7.3
https://numnumsbakery.com.au/blog/vegan-vs-eggless-cakes-difference,2,800,0.25,8.1
https://numnumsbakery.com.au/blog/birthday-cake-near-me-sydney-suburbs,1,22,4.55,19.4
https://numnumsbakery.com.au/blog/cake-cutting-ceremony-sydney,1,343,0.29,12.1
https://numnumsbakery.com.au/blog/cake-delivery-areas-sydney,1,19,5.26,13.8
https://numnumsbakery.com.au/blog/cake-delivery-sydney,1,59,1.69,16.4
https://numnumsbakery.com.au/blog/cake-flavour-guide-sydney,1,58,1.72,4.5
https://numnumsbakery.com.au/blog/cake-gifting-sydney,1,20,5.0,19.9
https://numnumsbakery.com.au/blog/cake-message-ideas-sydney,1,53,1.89,8.1
https://numnumsbakery.com.au/blog/cake-order-online-sydney,1,15,6.67,51.2
https://numnumsbakery.com.au/blog/cake-shop-western-sydney,1,153,0.65,14.1
https://numnumsbakery.com.au/blog/cake-smash-vs-first-birthday-cake-sydney,1,44,2.27,9.2
https://numnumsbakery.com.au/blog/cake-toppers-sydney,1,149,0.67,8.1
https://numnumsbakery.com.au/blog/corporate-cake-sydney,1,108,0.93,21.2
