seed_keyword,theme,gsc_90d_impressions,gsc_90d_clicks,gsc_position,why_seeded
barfi near me,indian sweets,677,0,7.9,Largest single query; ranks p7.9 with zero clicks
dairy free cakes sydney,dietary,128,0,19.8,Owner page earns 0% of theme demand
dairy free cakes delivered sydney,dietary,129,0,43.2,Same cluster; delivery modifier
nut free cakes sydney,dietary,126,0,21.1,Owner outranked by pillar
halal bakery sydney,dietary,149,0,39.0,Homepage outranks dedicated page
halal cake shop sydney,dietary,85,0,39.0,Same cluster
number cakes sydney,design,94,1,66.1,Dedicated page effectively invisible
number cake sydney,design,89,0,64.0,Same cluster
rasmalai cake near me,flavour,123,6,7.8,Best CTR of any unowned theme
rasmalai cake,flavour,92,5,4.1,No owner page exists
rasmalai cake sydney,flavour,24,1,8.3,Same cluster
indian sweets sydney,indian sweets,36,0,23.0,Product line under-built per report
gulab jamun cake near me,indian sweets,21,1,8.8,Sweets/cake crossover intent
kaju katli near me,indian sweets,10,0,14.1,Sweets long tail
