file,size,was,now,excerpt
blog/birthday-cake-north-west-sydney.html,"6""",8-12,6-8,6-inch round — 8 to 12 serves
blog/birthday-cake-north-west-sydney.html,"10""",30-40,20-22,10-inch round — 30 to 40 serves
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,6-inch round cake typically serves 8–12 people
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,8-inch round cake serves roughly 15–20 people
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,10-inch round cake serves approximately 25–35 people
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,6-inch round cake typically serves 8–12 people
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,8-inch round cake serves roughly 15–20 people
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,10-inch round cake serves approximately 25–35 people
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,6-inch — 8–12 guests
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,8-inch — 15–20 guests
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,10-inch — 25–35 guests
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,10-inch cake feeding 30–40 guests
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,10-inch cake feeding 30–40 guests
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,10-inch cake feeding 30–40 guests
blog/corporate-cake-sydney.html,"6""",8-10,6-8,6-inch round cake serves 8–10 people
blog/eggless-cake-catering-sydney.html,"8""",10-15,12-14,8-inch round cake yields approximately 10–15 serves
blog/eggless-cake-for-diabetics-sydney.html,"6""",8-10,6-8,6-inch round yields roughly 8-10 serves
blog/eggless-cake-for-diabetics-sydney.html,"8""",16-20,12-14,8-inch round yields 16-20 serves
blog/eggless-cake-for-seniors-sydney.html,"8""",12-16,12-14,8-inch for 12–16 guests
blog/eggless-cake-lower-sugar-options-sydney.html,"6""",8-10,6-8,6-inch round yields roughly 8-10 serves
blog/eggless-cake-lower-sugar-options-sydney.html,"8""",16-20,12-14,8-inch round yields 16-20 serves
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,8-inch round comfortably serves 15 to 20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,8-inch cake serves roughly 15–20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,8-inch round comfortably serves 15–20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,8-inch round comfortably serves 15 to 20 people
blog/eggless-cake-ordering-mistakes.html,"8""",15-20,12-14,8-inch round serves 15-20 guests
blog/eggless-cake-ordering-mistakes.html,"8""",15-20,12-14,8-inch round serves 15-20 guests
blog/eggless-cake-small-gatherings-sydney.html,"6""",2-8,6-8,6 inch sizes serve 2-8 people
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,6-inch cakes suit 5-8 people
blog/eggless-cake-small-gatherings-sydney.html,"8""",15-20,12-14,8-inch cake serves roughly 15-20 people
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,6-inch round cake steps up to 5-8 people
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,6-inch for 5-8 people
blog/eggless-cake-sydney.html,"8""",16-24,12-14,8-inch round serves roughly 16–24 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,8-inch round cake typically serves 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,8-inch cake serves 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,8-inch round serves roughly 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,8-inch round cake typically serves 15-20 guests
blog/eggless-cakes-auburn.html,"10""",30-35,20-22,10-inch around 30–35 people
blog/eggless-cakes-christmas-sydney.html,"6""",8-10,6-8,6-inch round serves roughly 8–10 people
blog/eggless-cakes-dundas-valley.html,"8""",16-20,12-14,8-inch round cake serves 16–20 guests
blog/eggless-cakes-dussehra-sydney.html,"8""",10-15,12-14,8-inch round serves 10–15 guests
blog/eggless-cakes-dussehra-sydney.html,"10""",18-25,20-22,10-inch serves 18–25 guests
blog/eggless-cakes-easter-sydney.html,"6""",8-10,6-8,6-inch round serves roughly 8–10 people
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,8-inch round serves roughly 16 to 24 guests
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,8-inch round serves roughly 16–24 guests
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,8-inch round serves roughly 16–24 guests
blog/eggless-cakes-ermington.html,"6""",10-14,6-8,6-inch round serves approximately 10–14 people
blog/eggless-cakes-ermington.html,"8""",20-25,12-14,8-inch serves approximately 20–25 guests
blog/eggless-cakes-ermington.html,"10""",30-40,20-22,10-inch serves approximately 30–40 guests
blog/eggless-cakes-old-toongabbie.html,"8""",15-20,12-14,8-inch round serves 15–20 guests
blog/eggless-cakes-raksha-bandhan-sydney.html,"8""",12-15,12-14,8-inch round (roughly 12–15 serves
blog/eggless-cakes-ramadan-sydney.html,"12""",30-50,25-30,12-inch cakes for 30–50 guests
blog/eggless-cakes-ramadan-sydney.html,"12""",25-40,25-30,12-inch round is usually appropriate for 25–40 guests
blog/eggless-cakes-schofields.html,"8""",15-20,12-14,8-inch for a typical birthday party of 15–20 guests
blog/eggless-chocolate-cake-sydney.html,"6""",8-10,6-8,6-inch round serves about 8-10 people
blog/eggless-red-velvet-cake-sydney.html,"6""",8-10,6-8,6-inch round serves roughly 8-10 people
blog/eggless-red-velvet-cake-sydney.html,"10""",30-40,20-22,10-inch comfortably covers 30-40 guests
blog/farewell-cake-sydney.html,"8""",15-20,12-14,8-inch round serves 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,8-inch round (serving 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,8-inch for 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,8-inch round cake serves roughly 15–20 people
blog/how-to-design-birthday-cake-sydney.html,"6""",8-10,6-8,6-inch (8–10 serves
blog/how-to-design-birthday-cake-sydney.html,"8""",12-16,12-14,8-inch (12–16 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,10-inch (20–25 serves
blog/how-to-design-birthday-cake-sydney.html,"12""",30-35,25-30,12-inch (30–35 serves
blog/how-to-design-birthday-cake-sydney.html,"14""",40-50,40-45,14-inch (40–50 serves
blog/how-to-design-birthday-cake-sydney.html,"16""",55-65,50-55,16-inch (55–65 serves
blog/how-to-design-birthday-cake-sydney.html,"6""",8-10,6-8,6-inch — 8 to 10 serves
blog/how-to-design-birthday-cake-sydney.html,"8""",12-16,12-14,8-inch — 12 to 16 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,10-inch — 20 to 25 serves
blog/how-to-design-birthday-cake-sydney.html,"12""",30-35,25-30,12-inch — 30 to 35 serves
blog/how-to-design-birthday-cake-sydney.html,"14""",40-50,40-45,14-inch — 40 to 50 serves
blog/how-to-design-birthday-cake-sydney.html,"16""",55-65,50-55,16-inch — 55 to 65 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,10-inch round cake comfortably serves 20–25 people
blog/hsc-results-day-cake-sydney.html,"8""",10-20,12-14,8-inch cake suits most results-day gatherings of 10 to 20 people
blog/hsc-results-day-cake-sydney.html,"8""",15-20,12-14,8-inch round comfortably serves 15 to 20 people
blog/index.html,"6""",2-8,6-8,6-inch eggless cakes for 2-8 people
blog/luxury-cake-sydney.html,"8""",35-40,12-14,"8"" serves approximately 35–40 guests"
blog/reunion-cake-sydney.html,"8""",15-20,12-14,8-inch round serves 15-20 guests
blog/reunion-cake-sydney.html,"8""",15-20,12-14,8-inch round serves 15-20 guests
blog/reunion-cake-sydney.html,"8""",15-20,12-14,8-inch round serves 15-20 guests
