query,urls_competing,total_impressions,total_clicks,owner_url,owner_impressions,owner_position,split_impressions,rival_urls,best_position_url_is_owner,best_position
num num bakery,60,5155,217,https://numnumsbakery.com.au/,991,1.8,4164,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-sydney-olympic-park | https://numnumsbakery.com.au/blog/eggless-cakes-doonside | https://numnumsbakery.com.au/blog/eggless-cake-delivery-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-newington | https://numnumsbakery.com.au/blog/birthday-cake-near-me-sydney-suburbs | https://numnumsbakery.com.au/blog/eggless-cakes-villawood | https://numnumsbakery.com.au/blog/eggless-cakes-shanes-park | https://numnumsbakery.com.au/indian-sweet | https://numnumsbakery.com.au/blog/cake-flavour-guide-sydney | https://numnumsbakery.com.au/blog/cake-price-guide-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-lalor-park | https://numnumsbakery.com.au/blog/eggless-cakes-hebersham | https://numnumsbakery.com.au/blog/eggless-cakes-marsfield | https://numnumsbakery.com.au/blog/eggless-cakes-hassall-grove | https://numnumsbakery.com.au/blog/eggless-cakes-minchinbury | https://numnumsbakery.com.au/blog/eggless-cakes-pitt-town | https://numnumsbakery.com.au/blog/eggless-cakes-mount-druitt | https://numnumsbakery.com.au/blog/eggless-cakes-auburn | https://numnumsbakery.com.au/blog/eggless-cakes-ryde | https://numnumsbakery.com.au/blog/best-dessert-shop-sydney | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-cabramatta | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-bonnyrigg | https://numnumsbakery.com.au/blog/unique-birthday-cake-ideas-sydney | https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/blog/eggless-cakes-north-kellyville | https://numnumsbakery.com.au/blog/cake-shop-western-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-harris-park | https://numnumsbakery.com.au/blog/novelty-sculpted-cake-designs-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-merrylands-west | https://numnumsbakery.com.au/blog/eggless-cakes-birrong | https://numnumsbakery.com.au/blog/eggless-cakes-old-toongabbie | https://numnumsbakery.com.au/blog/eggless-cakes-bossley-park | https://numnumsbakery.com.au/blog/eggless-cakes-constitution-hill | https://numnumsbakery.com.au/blog/eggless-cakes-kenthurst | https://numnumsbakery.com.au/blog/eggless-cakes-yennora | https://numnumsbakery.com.au/blog/best-cake-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-glendenning | https://numnumsbakery.com.au/blog/eggless-cakes-yagoona | https://numnumsbakery.com.au/blog/eggless-cakes-oakhurst | https://numnumsbakery.com.au/blog/eggless-cakes-pennant-hills | https://numnumsbakery.com.au/blog/eggless-cakes-prospect | https://numnumsbakery.com.au/blog/eggless-cakes-rooty-hill | https://numnumsbakery.com.au/blog/eggless-cakes-bligh-park | https://numnumsbakery.com.au/blog/eggless-cakes-south-granville.html | https://numnumsbakery.com.au/blog/eggless-cakes-strathfield | https://numnumsbakery.com.au/blog/cake-delivery-areas-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-epping | https://numnumsbakery.com.au/blog/eggless-cakes-maraylya | https://numnumsbakery.com.au/blog/eggless-cakes-west-ryde | https://numnumsbakery.com.au/blog/eggless-cakes-winston-hills | https://numnumsbakery.com.au/blog/eggless-cakes-cattai,True,1.8
eggless cake near me,34,4197,90,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,1358,7.2,2839,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-doonside | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-minchinbury | https://numnumsbakery.com.au/blog/eggless-cakes-north-kellyville | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/blog/eggless-cakes-newington | https://numnumsbakery.com.au/blog/eggless-cakes-bonnyrigg | https://numnumsbakery.com.au/blog/eggless-cakes-villawood | https://numnumsbakery.com.au/blog/eggless-cakes-mount-druitt | https://numnumsbakery.com.au/blog/eggless-cakes-lalor-park | https://numnumsbakery.com.au/blog/eggless-cakes-winston-hills | https://numnumsbakery.com.au/blog/eggless-cakes-hebersham | https://numnumsbakery.com.au/blog/eggless-cakes-cabramatta | https://numnumsbakery.com.au/blog/eggless-cakes-pennant-hills | https://numnumsbakery.com.au/blog/eggless-cakes-kenthurst | https://numnumsbakery.com.au/blog/eggless-cakes-plumpton | https://numnumsbakery.com.au/blog/eggless-cakes-constitution-hill | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-marsfield | https://numnumsbakery.com.au/blog/eggless-cakes-northmead | https://numnumsbakery.com.au/blog/eggless-cakes-quakers-hill | https://numnumsbakery.com.au/blog/eggless-cakes-merrylands-west | https://numnumsbakery.com.au/blog/eggless-cakes-mcgraths-hill | https://numnumsbakery.com.au/blog/eggless-cakes-cherrybrook | https://numnumsbakery.com.au/blog/eggless-cakes-rooty-hill | https://numnumsbakery.com.au/blog/eggless-cakes-greystanes | https://numnumsbakery.com.au/blog/eggless-cakes-kings-park | https://numnumsbakery.com.au/blog/eggless-cakes-west-ryde | https://numnumsbakery.com.au/blog/eggless-cakes-prospect,False,4.2
eggless cake shop,6,2164,2,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,767,11.8,1397,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone,False,6.4
num num bakery riverstone,11,1020,57,https://numnumsbakery.com.au/,260,1.0,760,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-shanes-park | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/blog/best-dessert-shop-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-pitt-town | https://numnumsbakery.com.au/blog/eggless-cakes-lalor-park,True,1.0
eggless cake sydney,8,1100,25,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,386,7.3,714,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cake-indian-flavours | https://numnumsbakery.com.au/blog/eggless-cake-nut-free-sydney | https://numnumsbakery.com.au/blog/eggless-cake-reviews-sydney,True,7.3
num nums bakery,13,1050,63,https://numnumsbakery.com.au/,351,1.6,699,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-sydney-olympic-park | https://numnumsbakery.com.au/blog/birthday-cake-near-me-sydney-suburbs | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-greystanes | https://numnumsbakery.com.au/blog/eggless-cakes-berala.html | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney,True,1.6
eggless cakes sydney,12,878,7,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,294,8.6,584,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cake-indian-flavours | https://numnumsbakery.com.au/blog/eggless-cake-nut-free-sydney | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-grantham-farm | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cake-delivery-sydney | https://numnumsbakery.com.au/blog/best-cake-sydney,True,8.6
num num bakery harris park,19,714,28,https://numnumsbakery.com.au/,136,1.1,578,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-sydney-olympic-park | https://numnumsbakery.com.au/blog/eggless-cakes-prairiewood | https://numnumsbakery.com.au/blog/eggless-cakes-marsfield | https://numnumsbakery.com.au/blog/best-dessert-shop-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-ryde | https://numnumsbakery.com.au/blog/eggless-cakes-birrong | https://numnumsbakery.com.au/blog/eggless-cakes-sefton | https://numnumsbakery.com.au/blog/eggless-cakes-bossley-park | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-newington | https://numnumsbakery.com.au/blog/eggless-cakes-bonnyrigg | https://numnumsbakery.com.au/blog/eggless-cakes-villawood | https://numnumsbakery.com.au/blog/eggless-cakes-yagoona,True,1.1
eggless cakes near me,11,832,17,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,304,7.8,528,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-doonside | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-minchinbury | https://numnumsbakery.com.au/blog/eggless-cakes-cabramatta,False,5.5
numnum bakery,9,716,71,https://numnumsbakery.com.au/,209,1.3,507,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/birthday-cake-near-me-sydney-suburbs | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/indian-sweet,True,1.3
num num riverstone,9,592,24,https://numnumsbakery.com.au/,159,1.0,433,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-lalor-park | https://numnumsbakery.com.au/blog,True,1.0
num num harris park,10,454,16,https://numnumsbakery.com.au/,116,1.0,338,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-birrong | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-villawood | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-dundas | https://numnumsbakery.com.au/blog/eggless-cakes-merrylands-west,True,1.0
num nums bakery harris park,9,362,17,https://numnumsbakery.com.au/,82,1.1,280,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/blog/eggless-cakes-telopea | https://numnumsbakery.com.au/blog/eggless-cakes-sydney-olympic-park | https://numnumsbakery.com.au/blog/eggless-cakes-newington,True,1.1
num num bakery wentworthville,8,367,2,https://numnumsbakery.com.au/,111,2.1,256,https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/about | https://numnumsbakery.com.au/indian-sweet | https://numnumsbakery.com.au/blog/eggless-cakes-mays-hill | https://numnumsbakery.com.au/blog/eggless-cakes-constitution-hill | https://numnumsbakery.com.au/blog/eggless-cakes-wentworth-point,True,2.1
eggless cakes,5,728,6,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,484,12.1,244,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cake-nut-free-sydney,False,5.9
num nums bakery riverstone menu,14,308,16,https://numnumsbakery.com.au/,74,2.6,234,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/indian-sweet | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-mcgraths-hill | https://numnumsbakery.com.au/blog/eggless-cakes-woodcroft | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-minchinbury | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cakes-schofields | https://numnumsbakery.com.au/blog/eggless-cakes-oakhurst | https://numnumsbakery.com.au/blog/eggless-cakes-glendenning,False,2.5
num nums bakery riverstone,7,285,10,https://numnumsbakery.com.au/,74,1.2,211,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone | https://numnumsbakery.com.au/blog/eggless-cakes-dean-park | https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-schofields,True,1.2
